redshift,modDist,sigma
0.97,43.0841865629,0.742582169563
0.479,42.2593258058,0.305353355969
0.83,43.4934896902,0.372098016098
0.416,42.042208973,0.43961209764
0.581,41.9804788609,0.422581723678
0.45,41.7965293235,0.367900106831
0.579,43.1102730617,0.562403228541
0.32,41.1885505108,0.339690792497
0.657,43.0812935967,0.549444460563
0.472,42.0990717933,0.469994746225
0.374,43.1153409984,0.694417590782
0.526,42.013309316,0.402473462081
0.763,44.3657126034,0.885466302481
0.58,42.9398798711,0.395142768132
0.43,41.8899803061,0.393293335469
0.45,42.2825129374,0.422650328365
0.828,44.203018183,0.611918160502
0.656,43.181554143,0.528708119909
0.495,42.1205013485,0.39827409355
0.49,41.8217131258,0.355251221615
0.57,42.742574543,0.395438890913
0.388,42.0969738461,0.370734294336
0.45,42.2128189449,0.377256221564
0.48,42.1266258961,0.403490417945
0.615,42.6108744805,0.520864721236
0.4,42.1077687105,0.382043588034
0.655,42.3305104738,0.496246176513
0.498,43.0296153325,0.451179870261
0.465,41.8375675989,0.677740680801
0.453,42.6855854693,0.388547543287
0.425,41.3010835176,0.366453610612
0.278,40.6729770427,0.205733686158
0.477,42.0071669413,0.149503540949
0.95,43.6972613338,0.274437861244
1.057,44.0787405468,0.211584422417
0.816,43.7951226482,0.423980625959
0.455,42.3522141356,0.239111591348
0.514,42.4275455763,0.427580299971
0.423,41.6141933692,0.239548120652
0.946,43.1597477534,0.806741116211
0.859,44.022811801,0.304111603744
1.031,42.1761580597,1.28660173268
0.936,44.148887081,0.518330924179
0.528,42.3528772215,0.240748040733
0.645,44.0353749092,0.964152598465
0.978,43.6526492518,0.312966122482
0.885,44.1789952676,0.466461712419
0.815,44.1347089556,0.919484299622
0.568,42.5610152006,0.293309253351
0.711,43.2491247935,0.248908077637
0.3396,41.1022712766,0.259553392222
0.3965,41.4084095732,0.240552944224
0.812,43.8133209255,0.282936944717
0.799,43.1683351205,0.27444888856
0.882,42.9333230617,0.324847417172
0.833,43.407367536,0.347349605053
0.874,43.3865810553,0.462308366531
0.772,43.4354874701,0.263416996827
0.543,42.3919207564,0.135200439255
0.75,43.167266596,0.135523948437
0.64,42.7302552042,0.225082191179
0.43,42.202845059,0.143459564521
0.64,43.1881838551,0.186543501751
0.497,42.4090348089,0.158488764413
0.44,41.9964410659,0.127761277223
0.355,41.516716698,0.130966220782
0.78,43.4907628672,0.151115530925
0.54,42.4339111537,0.121366799166
0.86,43.7451019144,0.156150591229
1.02,44.1993977338,0.223075604603
1.14,44.2839104237,0.280516457089
0.854,43.9153676425,0.219112489318
1.37,44.7910462695,0.324513218653
0.975,44.2284945859,0.200606912017
0.97,44.5842379887,0.240421078134
0.74,43.417393486,0.196331774539
1.39,44.8274132597,0.591264643225
0.46,42.1615041182,0.190529350474
1.02,43.9810540565,0.241216980878
1.12,44.2495126581,0.241680223529
1.23,44.852264567,0.236250346674
1.19,44.1207308635,0.245756009721
0.839,43.5971981016,0.211771806558
1.01,44.4466207888,0.195202527359
0.521,42.4304300932,0.194708817687
0.475,42.1851461163,0.216179583718
0.95,43.7698442025,0.212959739832
1.3,44.9491044223,0.351060245309
1.305,44.4157049301,0.292031859582
0.526,43.0211775986,0.234516092908
0.735,43.1143549007,0.18304597653
1.14,44.0289616697,0.770661375912
1.551,45.3317386715,0.395907584039
1.265,44.6312640583,0.231966862578
1.34,44.953151304,0.252440440679
0.84,43.5620294075,0.195661579434
0.468,42.4934212383,0.156341752732
0.84,43.3513315259,0.326964462638
0.96,43.5868914421,0.427260522942
0.8218,43.5365504755,0.348162814934
0.93,44.6348635492,0.689119011672
0.451,41.8469440412,0.136544105548
0.61,42.8826976033,0.146106297403
0.83,44.6922378489,0.457964640542
0.707,43.320290922,0.250954794869
0.415,41.7696832434,0.12867036751
0.557,42.6475499276,0.146252717965
0.791,43.334857994,0.19213955201
0.695,43.1559541077,0.177154136049
0.633,43.200350196,0.204733134997
0.2486,40.6291787524,0.144170347426
0.532,42.6510205265,0.198544372744
0.331,40.9259072634,0.124868930577
0.346,41.2816358992,0.133990721793
0.961,44.0860127956,0.541232742301
0.613,42.9577096308,0.147055302427
0.3402,41.2627973103,0.124216129606
0.983,43.9686072633,0.873805060546
0.71,43.03031003,0.184976659207
0.73,43.3112856025,0.172061162401
0.47,42.2950363729,0.149449923436
0.62,43.0958537208,0.150521756378
0.521,42.2813323021,0.171703576261
0.369,41.5099445593,0.127128442179
0.571,42.4563923477,0.1847896727
0.604,42.4422921595,0.142594201708
0.9271,44.7438233798,0.616675765778
0.285,40.7117195315,0.128805577715
0.2912,40.7936031593,0.128325808339
0.548,42.684557193,0.163119668307
0.868,43.9551353049,0.697041426681
0.496,42.2194365099,0.160441226732
0.811,44.0557629679,0.356535950064
0.756,43.6720421887,0.2041097647
0.817,43.5678420781,0.305034089394
0.752,43.1434994817,0.179046394457
0.5516,42.4072918995,0.146846411569
0.3578,41.3894284101,0.125749074506
1.01,44.6896175735,0.910412577811
0.741,43.4820220235,0.161255047619
0.43,41.8372805299,0.138494545284
0.526,42.6736883867,0.151797295017
0.592,42.524194556,0.197075800472
0.905,43.686095579,0.424695030791
0.949,43.4679668471,0.467379485606
0.4607,41.9741739893,0.2613454679
0.3709,41.5023209499,0.132033007561
0.8,44.4199835555,0.537991937963
0.679,43.4170080051,0.175601683429
0.5817,42.8374976585,0.184185753799
0.55,42.3999711394,0.158230175273
0.81,43.7278491047,0.491922061811
0.95,43.780780395,0.421021094207
0.3373,41.1812895877,0.124867747916
0.91,44.4079361607,0.394461837584
0.263,40.6399477676,0.123324515918
0.643,43.0120301671,0.161285559543
0.691,43.1407175735,0.170861512594
0.357,41.3588695068,0.129068537648
0.721,43.1285593884,0.185537803758
0.581,42.7918076033,0.147505707094
0.6268,42.7073384153,0.145364365689
0.818,43.5731368588,0.562299153124
0.449,41.9045845939,0.150334954079
0.688,43.0446792667,0.179014967059
0.87,44.0828430243,0.496674095444
0.5043,42.3045856196,0.141778819311
0.591,43.3138714564,0.267379474385
0.426,41.806666569,0.204450457968
0.329,41.3757739861,0.25327455415
0.531,43.0629635087,0.301071564198
0.583,42.5993396847,0.461245287391
0.519,43.0898571036,0.385243880567
0.401,41.6214142647,0.259723821426
0.34,41.1002984666,0.22330741712
0.436,41.8355461879,0.219396208675
0.363,41.3991790454,0.206870861224
0.436,41.9186081822,0.214365467471
0.309,41.2854634774,0.20604264325
0.342,41.3335602868,0.20174070167
0.332,41.2428570494,0.223960203004
0.469,42.0869431125,0.219485296548
0.239,40.4663605358,0.193168326915
0.352,41.4402007529,0.222632458264
0.612,42.2601378946,0.819156755697
0.631,42.5665239435,0.270098723797
0.645,42.8315316986,0.22803549973
0.429,41.8321619796,0.217936090167
0.497,42.0900771628,0.23056454709
0.539,42.3621361424,0.235072095671
0.561,42.5988124145,0.254763512704
0.41,41.3480927299,0.217232818458
0.412,41.7758022341,0.2949457048
0.599,42.8544760765,0.290620357209
0.619,42.9246968389,0.246627072238
0.422,41.6678602675,0.238231296443
0.54,42.5656285356,0.254777678043
0.401,42.072813335,0.312075794951
0.218,40.3179435116,0.198433228858
0.633,42.2256486429,0.296301030677
0.383,41.592556266,0.228094106236
0.302,41.5660169963,0.259288152895
0.34,41.1438764437,0.199964450355
0.51,41.9188202391,0.258309489516
0.421,41.965762911,0.228780937104
0.399,41.7087506407,0.28376407894
0.493,42.122916001,0.229109806841
0.687,42.832217021,0.279368496827
0.502,41.8992528194,0.313490292477
0.687,42.8216812976,0.250279752764
0.495,42.2021639825,0.245006206755
0.603,42.6354160597,0.273892147864
0.421,42.0443812883,0.280749747008
0.348,41.5494690313,0.204875174321
0.213,40.3399930846,0.204646940237
0.344,41.0679683623,0.200210760141
0.271,40.5536369049,0.206465230307
0.564,42.3759756991,0.400947441397
0.274,40.7740469723,0.216212348503
0.582,43.2137150031,0.278992592748
0.68,42.8318958632,0.247902597912
0.401,41.9301329836,0.235368495661
0.416,41.7521888571,0.295167259169
0.286,41.387427719,0.334584228292
0.314,41.0209048393,0.287974294878
0.581,43.5994710152,0.377088903672
0.463,41.9546009246,0.265451577145
0.341,41.092049721,0.209704216095
0.671,42.1936025518,0.331542575911
0.631,42.9261055377,0.232187948068
0.522,42.6690298106,0.304891267733
0.368,41.4066563292,0.204741881488
0.309,40.8507297646,0.207725830155
0.528,42.4787440903,0.305372522825
0.268,40.7695452633,0.197555926698
0.695,42.9207400196,0.41358331096
0.284,40.7849823164,0.199874464698
0.508,42.1375516415,0.212951542267
0.781,43.3825529133,0.341139699918
0.613,42.4302887204,0.333098849656
